image,H,W,roi_area,work_area,num_boxes,box_idx,x0,y0,x1,y1,area,fill_ratio,mean_score,sat_mean,edge_density,diff_overlap_frac,border_contrast,border_grad
manual_original_1_20251020_112714_137414.jpg,1080,1920,349435,313216,3,,,,,,,,,,,
manual_original_1_20251020_112714_137414.jpg,,,,,,0,591,98,813,227,28990,0.4979,0.64682,0.03738,0.26133,0.0,0.01239,0.14372
manual_original_1_20251020_112714_137414.jpg,,,,,,1,408,147,691,285,39476,0.41724,0.64359,0.03441,0.42127,0.0,0.0006,0.46956
manual_original_1_20251020_112714_137414.jpg,,,,,,2,947,472,1031,529,4930,0.27586,0.62634,0.30285,0.78073,1.0,0.46686,0.80107
manual_original_1_20251020_112749_653441.jpg,1080,1920,349435,313216,2,,,,,,,,,,,
manual_original_1_20251020_112749_653441.jpg,,,,,,0,590,99,779,227,24510,0.46707,0.59537,0.03781,0.25549,0.0,0.00658,0.1622
manual_original_1_20251020_112749_653441.jpg,,,,,,1,397,146,692,274,38184,0.50558,0.60954,0.03722,0.39399,0.0,0.00219,0.42584
manual_original_1_20251020_113004_041033.jpg,1080,1920,349435,313216,1,,,,,,,,,,,
manual_original_1_20251020_113004_041033.jpg,,,,,,0,409,98,796,279,70616,0.38139,0.6327,0.03812,0.33815,0.0,0.01461,0.40005
manual_original_1_20251020_113042_293678.jpg,1080,1920,349435,313216,1,,,,,,,,,,,
manual_original_1_20251020_113042_293678.jpg,,,,,,0,410,102,789,273,65360,0.36695,0.59993,0.03524,0.32771,0.0,0.01766,0.4047
manual_original_1_20251020_113136_668447.jpg,1080,1920,349435,313216,1,,,,,,,,,,,
manual_original_1_20251020_113136_668447.jpg,,,,,,0,399,99,791,277,70347,0.33576,0.55206,0.04176,0.33657,0.0,0.00952,0.38711
manual_original_1_20251020_113202_922076.jpg,1080,1920,349435,313216,2,,,,,,,,,,,
manual_original_1_20251020_113202_922076.jpg,,,,,,0,589,98,821,214,27261,0.42115,0.6144,0.03854,0.24746,0.0,0.00555,0.14483
manual_original_1_20251020_113202_922076.jpg,,,,,,1,399,147,679,279,37373,0.4773,0.61986,0.04149,0.40454,0.0,0.00585,0.40232
manual_original_1_20251020_113456_899845.jpg,1080,1920,349435,313216,2,,,,,,,,,,,
manual_original_1_20251020_113456_899845.jpg,,,,,,0,409,97,818,268,70520,0.34878,0.61956,0.03871,0.31407,0.0,0.02465,0.40222
manual_original_1_20251020_113456_899845.jpg,,,,,,1,927,476,1026,527,5200,0.19212,0.57373,0.34174,0.66288,0.98098,0.24099,0.76157
manual_original_1_20251020_113530_426947.jpg,1080,1920,349435,313216,2,,,,,,,,,,,
manual_original_1_20251020_113530_426947.jpg,,,,,,0,592,97,823,235,32248,0.47826,0.59095,0.0383,0.28855,0.0,0.05104,0.17389
manual_original_1_20251020_113530_426947.jpg,,,,,,1,399,147,633,272,29610,0.35515,0.56507,0.03321,0.37069,0.0,0.00732,0.39945
manual_original_1_20251020_113617_654836.jpg,1080,1920,349435,313216,1,,,,,,,,,,,
manual_original_1_20251020_113617_654836.jpg,,,,,,0,413,97,816,259,65852,0.32336,0.66733,0.03646,0.29156,0.0,0.03128,0.36468
manual_original_1_20251020_113646_232508.jpg,1080,1920,349435,313216,1,,,,,,,,,,,
manual_original_1_20251020_113646_232508.jpg,,,,,,0,415,98,780,273,64416,0.36038,0.62214,0.03506,0.32757,0.0,0.00723,0.37679
manual_original_1_20251020_114032_177708.jpg,1080,1920,349435,313216,1,,,,,,,,,,,
manual_original_1_20251020_114032_177708.jpg,,,,,,0,400,97,819,273,74340,0.34529,0.61396,0.0361,0.31474,0.0,0.01752,0.39962
manual_original_1_20251020_115459_359020.jpg,1080,1920,349435,313216,1,,,,,,,,,,,
manual_original_1_20251020_115459_359020.jpg,,,,,,0,415,98,793,273,66704,0.43093,0.59171,0.03482,0.31181,0.0,0.01764,0.35903
manual_original_1_20251020_115602_793522.jpg,1080,1920,349435,313216,2,,,,,,,,,,,
manual_original_1_20251020_115602_793522.jpg,,,,,,0,589,98,813,222,28125,0.45298,0.69066,0.0363,0.22628,0.0,0.01316,0.13075
manual_original_1_20251020_115602_793522.jpg,,,,,,1,408,147,640,265,27727,0.44711,0.66771,0.03122,0.32824,0.0,0.00342,0.32794
